14	0.21	12.6	0.386		2	0.53	31.8	0.245		10	0.36	21.6	0.202		6	0.23	13.8	0.084		5	0.56	33.6	0.144		17	0.07	4.2	0.535		15	0.75	45	0.135		16	0.54	32.4	0.15
15	0.18	10.8	0.215		3	0.23	13.8	0.376		11	0.58	34.8	0.309		7	0.97	58.2	0.194		6	0.27	16.2	0.325		18	0.46	27.6	0.276		16	0.41	24.6	0.108		17	0.43	25.8	0.24
16	0.19	11.4	0.202		4	0.19	11.4	0.221		12	0.21	12.6	0.093		8	0.63	37.8	0.161		7	0.45	27	0.256		19	0.34	20.4	0.465		17	0.63	37.8	0.098		18	0.56	33.6	0.599
17	0.26	15.6	0.497		5	0.17	10.2	0.14		13	0.48	28.8	0.298		9	0.51	30.6	0.139		8	0.84	50.4	0.105		1	0.53	31.8	0.166		1	0.68	40.8	0.214		19	0.45	27	0.27
18	0.11	6.6	0.177		6	0.25	15	0.629		14	0.49	29.4	0.075		10	0.61	36.6	0.17		9	0.31	18.6	0.061		2	0.48	28.8	0.18		2	0.34	20.4	0.05		20	0.54	32.4	0.315
19	0.21	12.6	0.506		7	0.16	9.6	0.398		15	0.65	39	0.3		11	0.22	13.2	0.117		10	0.21	12.6	0.067		3	0.52	31.2	0.071		3	0.33	19.8	0.439		1	0.37	22.2	0.053
20	0.17	10.2	0.278		1	0.32	19.2	0.51		16	0.54	32.4	0.204		12	0.8	48	0.243		11	0.49	29.4	0.253		4	0.27	16.2	0.249		4	0.9	54	0.102		2	0.42	25.2	0.323
21	0.16	9.6	0.101		2	0.36	21.6	0.302		17	0.45	27	0.253		13	0.54	32.4	0.203		12	0.12	7.2	0.282		5	0.43	25.8	0.042		5	0.46	27.6	0.23		3	0.26	15.6	0.056
22	0.12	7.2	0.129		3	0.19	11.4	0.644		18	0.48	28.8	0.138		14	0.63	37.8	0.307		13	0.45	27	0.166		6	0.48	28.8	0.094		6	0.35	21	0.084		4	0.43	25.8	0.064
23	0.33	19.8	0.129		4	0.22	13.2	0.312		19	0.5	30	0.254		15	0.37	22.2	0.115		14	0.2	12	0.23		7	0.52	31.2	0.163		7	0.33	19.8	0.171		5	0.19	11.4	0.077
24	0.27	16.2	0.493		5	0.23	13.8	0.415		20	0.58	34.8	0.178		1	0.83	49.8	0.064		15	0.35	21	0.269		8	0.51	30.6	0.041		8	0.36	21.6	0.126		6	0.45	27	0.132
25	0.22	13.2	0.096		6	0.27	16.2	0.547		21	0.45	27	0.038		2	0.73	43.8	0.023		16	0.32	19.2	0.133		9	0.33	19.8	0.45		9	0.74	44.4	0.181		7	0.37	22.2	0.067
26	0.21	12.6	0.25		7	0.2	12	0.499		22	0.45	27	0.206		3	0.59	35.4	0.26		17	0.31	18.6	0.246		10	0.17	10.2	0.299		1	0.86	51.6	0.208		8	0.39	23.4	0.343
27	0.4	24	0.124		8	0.56	33.6	0.257		23	0.3	18	0.206		4	0.66	39.6	0.291		18	0.49	29.4	0.421		11	0.57	34.2	0.17		2	0.53	31.8	0.063		9	0.7	42	0.269
28	0.14	8.4	0.121		9	0.41	24.6	0.502		24	0.69	41.4	0.298		5	0.39	23.4	0.184		19	0.18	10.8	0.214		12	0.37	22.2	0.096		3	0.62	37.2	0.297		10	0.31	18.6	0.287
29	0.31	18.6	0.695		10	0.28	16.8	0.177		25	0.54	32.4	0.219		6	0.7	42	0.213		20	0.5	30	0.165		13	0.38	22.8	0.176		4	0.61	36.6	0.136		11	0.66	39.6	0.194
30	0.15	9	0.158		11	0.6	36	0.155		26	0.48	28.8	0.535		7	0.69	41.4	0.16		21	0.39	23.4	0.329		14	0.63	37.8	0.158		5	0.38	22.8	0.138		12	0.3	18	0.182
31	0.2	12	0.149		12	0.33	19.8	0.311		27	0.47	28.2	0.225		8	0.7	42	0.177		22	0.41	24.6	0.379		1	0.08	4.8	0.274		6	1.02	61.2	0.067		13	0.51	30.6	0.209
32	0.37	22.2	0.132		13	0.5	30	0.165		28	0.46	27.6	0.139		9	0.72	43.2	0.261		23	0.49	29.4	0.199		2	0.2	12	0.445		7	0.49	29.4	0.341		14	0.64	38.4	0.167
33	0.33	19.8	0.215		14	0.35	21	0.229		29	0.21	12.6	0.169		10	0.63	37.8	0.179		24	0.34	20.4	0.174		3	0.38	22.8	0.36		8	0.59	35.4	0.109		15	0.7	42	0.058
34	0.24	14.4	0.233		1	0.41	24.6	0.23		30	0.42	25.2	0.263		11	0.62	37.2	0.077		25	0.28	16.8	0.087		4	0.49	29.4	0.25		9	0.45	27	0.305		16	0.75	45	0.096
35	0.33	19.8	0.128		2	0.73	43.8	0.032		31	0.39	23.4	0.156		12	0.37	22.2	0.143		26	0.27	16.2	0.076		5	0.35	21	0.128		10	0.19	11.4	0.477		17	0.75	45	0.231
1	0.09	5.4	0.443		3	0.19	11.4	0.353		32	0.33	19.8	0.192		13	0.41	24.6	0.198		27	0.32	19.2	0.163		6	0.3	18	0.153		11	0.3	18	0.178		18	0.53	31.8	0.264
2	0.27	16.2	0.343		4	0.4	24	0.516		33	0.58	34.8	0.172		14	0.7	42	0.228		28	0.59	35.4	0.196		7	0.11	6.6	0.136		12	0.38	22.8	0.126		19	0.64	38.4	0.099
3	0.18	10.8	0.274		5	0.5	30	0.367		34	0.36	21.6	0.216		15	0.64	38.4	0.264		29	0.28	16.8	0.23		8	0.59	35.4	0.045		13	0.73	43.8	0.126		20	0.78	46.8	0.125
4	0.36	21.6	0.236		6	0.65	39	0.16		35	0.44	26.4	0.532		16	0.4	24	0.248		1	0.49	29.4	0.161		9	0.47	28.2	0.514		14	0.56	33.6	0.15		21	0.64	38.4	0.064
5	0.1	6	0.456		7	0.55	33	0.269		36	0.55	33	0.07		17	0.72	43.2	0.234		2	0.22	13.2	0.073		10	0.23	13.8	0.362		15	0.56	33.6	0.207		22	0.59	35.4	0.138
6	0.24	14.4	0.299		8	0.31	18.6	0.237		37	0.41	24.6	0.238		18	0.5	30	0.098		3	0.12	7.2	0.269		11	0.11	6.6	0.195		16	0.76	45.6	0.148		23	0.46	27.6	0.262
7	0.36	21.6	0.926		9	0.38	22.8	0.277		38	0.4	24	0.359		19	0.68	40.8	0.33		4	0.6	36	0.076		12	0.3	18	0.199		17	0.82	49.2	0.095		24	0.47	28.2	0.094
8	0.41	24.6	0.409		10	0.25	15	0.302		39	0.26	15.6	0.273		1	0.56	33.6	0.074		5	0.16	9.6	0.147		13	0.54	32.4	0.151		18	0.32	19.2	0.107		25	0.6	36	0.295
9	0.16	9.6	0.244		11	0.37	22.2	0.252		40	0.27	16.2	0.413		2	0.66	39.6	0.174		6	0.54	32.4	0.102		14	0.35	21	0.112		19	0.66	39.6	0.235		26	0.34	20.4	0.17
10	0.19	11.4	0.399		1	0.23	13.8	0.119		1	0.76	45.6	0.189		3	0.37	22.2	0.072		7	0.38	22.8	0.145		15	0.26	15.6	0.203		20	0.57	34.2	0.269		27	0.54	32.4	0.205
11	0.6	36	0.166		2	0.19	11.4	0.427		2	0.3	18	0.054		4	0.33	19.8	0.149		8	0.44	26.4	0.069		16	1.02	61.2	0.316		21	0.47	28.2	0.294		28	0.48	28.8	0.408
12	0.19	11.4	0.161		3	0.3	18	0.135		3	0.4	24	0.028		5	0.41	24.6	0.209		9	0.39	23.4	0.126		17	0.15	9	0.436		1	0.63	37.8	0.098		29	0.66	39.6	0.309
13	0.43	25.8	0.203		4	0.38	22.8	0.247		4	0.33	19.8	0.094		6	0.32	19.2	0.201		10	0.25	15	0.163		18	0.43	25.8	0.377		2	0.26	15.6	0.324		30	0.58	34.8	0.236
14	0.29	17.4	0.107		5	0.37	22.2	0.279		5	0.2	12	0.201		7	0.76	45.6	0.165		11	0.66	39.6	0.222		19	0.2	12	0.639		3	0.51	30.6	0.056		31	0.49	29.4	0.255
